Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON
11,11,GSW,Klay Thompson,Washington State,8,615,20340,11995,2130,1416,0.459,0.419,0.848,33.1,19.5,3.5,2.3,46.8,0.11,0.7,14.2,,,
12,12,UTA,Alec Burks,Colorado,10,544,12061,5705,1813,1025,0.422,0.373,0.796,22.2,10.5,3.3,1.9,20,0.079,-0.9,3.4,,,
13,13,PHO,Markieff Morris,Kansas,10,698,17426,7693,3669,1130,0.446,0.341,0.776,25,11,5.3,1.6,26.7,0.074,-1.4,2.7,,,
14,14,HOU,Marcus Morris,Kansas,10,664,17887,8091,3059,972,0.435,0.379,0.763,26.9,12.2,4.6,1.5,34,0.091,-0.5,6.8,,,
15,15,IND,Kawhi Leonard,San Diego State,10,576,18025,11085,3689,1672,0.493,0.384,0.858,31.3,19.2,6.4,2.9,83.3,0.222,6.8,40.1,,,
16,16,PHI,Nikola VuÄçeviÄá,USC,10,668,20451,11265,6927,1801,0.496,0.357,0.756,30.6,16.9,10.4,2.7,54.4,0.128,2.3,22.4,,,
17,17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,0.391,0.337,0.764,24.9,7.2,3.3,1.8,12.9,0.054,-1.7,0.9,,,
18,18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-3.2,-0.8,,,
19,19,CHA,Tobias Harris,Tennessee,10,680,21075,11056,4164,1476,0.475,0.367,0.827,31,16.3,6.1,2.2,52.8,0.12,1.2,16.8,,,
20,20,MIN,Donatas MotiejÅ«nas,None,6,251,4566,1832,952,269,0.469,0.3,0.597,18.2,7.3,3.8,1.1,7.1,0.075,-2.5,-0.5,,,
21,21,POR,Nolan Smith,Duke,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6,-0.8,,,
22,22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,0.546,0.222,0.654,24.5,11.4,8.1,1,38.8,0.159,0.5,7.5,,,
23,23,HOU,Nikola MirotiÄá,None,5,319,7718,3910,1894,407,0.423,0.359,0.808,24.2,12.3,5.9,1.3,20.8,0.129,1.6,7.1,,,
24,24,OKC,Reggie Jackson,Boston College,10,628,15664,7920,1851,2661,0.43,0.349,0.855,24.9,12.6,2.9,4.2,33.1,0.101,0.4,9.5,,,
25,25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,0.447,0.345,0.751,17.3,8,2.1,1.4,3.3,0.046,-1.6,0.4,,,
26,26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-0.1,1,,,
27,27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-3.9,-0.1,,,
28,28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4.1,-4.1,,,
29,29,SAS,Cory Joseph,Texas,10,663,14561,4640,1710,1949,0.444,0.333,0.774,22,7,2.6,2.9,26.2,0.086,-1,3.8,,,
30,30,CHI,Jimmy Butler,Marquette,10,633,20933,11003,3322,2524,0.458,0.327,0.838,33.1,17.4,5.2,4,84.4,0.194,4.5,34.2,,,
31,31,MIA,Bojan BogdanoviÄá,None,7,534,15388,7795,1888,825,0.457,0.393,0.862,28.8,14.6,3.5,1.5,27.8,0.087,-1.1,3.6,,,
