,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
294,385,26,26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,0.473,0.253,0.468,22.2,4.5,4,0.9,12.6,0.089,-0.6,2.3,,,,6.43,7,12.33865726,1.762665323,0.403835419,-1.312953317,1.716788736
295,388,29,29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,0.429,0.236,0.7,14.5,6.3,2,1.2,1.1,0.022,-3,-0.6,,,,5.78,4,-0.060702232,-0.015175558,-2.34926197,-1.01987099,-1.329390979
296,390,31,31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,0.425,0.387,0.831,24,9.1,2.8,1.1,13.7,0.072,-1.6,0.9,,,,7.16,7,3.392495206,0.484642172,-1.746591556,-0.724068845,-1.022522711
297,392,33,33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-3.4,0,,,,5.37,1,0.068257829,0.068257829,0.370704344,0.063934977,0.306769367
298,393,34,34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,0.371,0.351,0.836,20.4,8.1,1.9,1.9,4.3,0.043,-2.4,-0.5,,,,-3.56,6,0.07780672,0.012967787,-2.288676837,-0.947100128,-1.341576709
299,395,36,36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,0.408,0.335,0.711,18.2,6,2,2.4,2.1,0.035,-2.6,-0.4,,,,0.84,3,0.780808643,0.260269548,-1.88430069,-0.316971693,-1.567328997
300,396,37,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,0.4,0,,,,-2.64,2,0.143556487,0.071778244,0.109074428,-0.054869027,0.163943455
301,397,38,38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-2.6,-0.2,,,,-3.55,3,1.871316151,0.62377205,-0.524647977,-0.780839481,0.256191504
302,398,39,39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,0.525,0.143,0.716,10.1,3.2,2.5,0.3,6.8,0.157,0.5,1.3,,,,8.34,5,4.507184337,0.901436867,0.941060011,-0.68876007,1.629820081
303,399,40,40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,0.269,0.067,1,6.4,2,1.1,0.4,-0.1,-0.128,-10.8,-0.1,,,,7.47,1,0.071228632,0.071228632,-0.212346688,0.325244685,-0.537591374
