,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%_x,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,nba_id,Team,DPM,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%_y,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Tov/100
121,162,43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,,,,,8.12,1628382,Milwaukee Bucks,-2.05,-0.72,-1.33,-2.1,-0.29,-1.81,18.922,0.482,10.216,0.339,0.541,3.592,0.772,0.173,0.201,6.687,2.974,0.093,0.253,0.003,2.287
122,194,15,15,POR,Justin Jackson,UNC,4,248,4742,1641,630,274,0.427,0.321,0.797,19.1,6.6,2.5,1.1,5.3,0.053,-2.8,-1,,,,8.12,1628382,Milwaukee Bucks,-2.05,-0.72,-1.33,-2.1,-0.29,-1.81,18.922,0.482,10.216,0.339,0.541,3.592,0.772,0.173,0.201,6.687,2.974,0.093,0.253,0.003,2.287
123,164,45,45,BRK,Hamidou Diallo,Kentucky,3,149,2648,1112,536,154,0.463,0.294,0.627,17.8,7.5,3.6,1,2.8,0.05,-3.3,-0.8,,,,10.73,1628977,Detroit Pistons,-2,-1.4,-0.6,-1.61,-0.96,-0.65,19.508,0.5,5.063,0.311,0.234,7.041,0.658,0.342,0.218,10.847,3.273,0.11,1.086,0.012,2.724
124,165,46,46,HOU,De'Anthony Melton,USC,3,162,3196,1177,515,466,0.412,0.35,0.775,19.7,7.3,3.2,2.9,4,0.06,-0.3,1.4,,,,6.4,1629001,Memphis Grizzlies,1.1,-0.42,1.52,0.87,-0.81,1.68,16.834,0.477,10.883,0.353,0.622,2.78,0.77,0.192,0.178,7.346,5.225,0.162,1.291,0.015,2.455
125,166,47,47,LAL,Sviatoslav Mykhailiuk,Kansas,3,164,3029,1196,303,253,0.4,0.362,0.764,18.5,7.3,1.8,1.5,1.8,0.028,-2.8,-0.6,,,,11.86,1629004,Oklahoma City Thunder,-2.09,-1.17,-0.91,-2.22,-0.89,-1.33,20.138,0.485,11.041,0.349,0.533,3.141,0.778,0.171,0.231,5.896,4.098,0.133,0.416,0.005,3.122
126,167,48,48,MIN,Keita Bates-Diop,Ohio State,3,104,1492,518,259,59,0.429,0.302,0.694,14.3,5,2.5,0.6,1.9,0.061,-2.2,-0.1,,,,7.69,1628966,San Antonio Spurs,-1.76,-1.65,-0.1,-1.43,-1.52,0.09,12.5,0.519,2.677,0.287,0.194,4.432,0.667,0.29,0.141,9.884,2.236,0.072,1.14,0.014,1.571
127,168,49,49,SAS,Chimezie Metu,USC,3,83,738,335,181,51,0.48,0.317,0.74,8.9,4,2.2,0.6,0.6,0.039,-4,-0.4,,,,6.78,1629002,Sacramento Kings,-2.07,-1.5,-0.57,-1.84,-1.46,-0.38,18.702,0.517,5.712,0.321,0.336,4.072,0.756,0.196,0.213,11.059,2.985,0.092,1.841,0.017,2.552
128,169,50,50,IND,Alize Johnson,Missouri State,3,49,371,141,157,22,0.496,0.313,0.774,7.6,2.9,3.2,0.4,1.2,0.155,-0.5,0.1,,,,0.82,1628993,Brooklyn Nets,-0.61,-0.68,0.08,-0.48,-0.64,0.16,15.773,0.584,1.454,0.28,0.092,5.173,0.766,0.288,0.181,20.047,2.555,0.085,1.053,0.013,2.416
129,173,54,54,DAL,Shake Milton,SMU,3,123,2534,1281,271,315,0.454,0.374,0.815,20.6,10.4,2.2,2.6,5.2,0.099,-1.9,0.1,,,,4.22,1629003,Philadelphia 76ers,-1.45,-0.46,-0.99,-1.56,-0.44,-1.12,21.662,0.498,7.894,0.346,0.394,5.592,0.798,0.267,0.234,5.329,6.095,0.198,0.518,0.006,3.211
130,179,60,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,0.375,,0.474,4,1,1,0.1,-0.2,-0.098,-10.2,-0.2,,,,2.7,1628961,Los Angeles Lakers,-1.69,-2.62,0.93,-1.73,-2.65,0.92,14.615,0.525,2.386,0.255,0.134,6.719,0.582,0.365,0.177,13.147,1.85,0.065,2.153,0.026,3.437
