Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
Landry Shamet,3,2.317025868,0.772341956,-1.555005274,-0.326466076,-1.228539198
Eduardo Najera,3,1.148933831,0.382977944,-1.005795483,-1.590655077,0.584859595
Keyon Dooling,4,2.340717717,0.585179429,-1.31755218,-0.515082966,-0.802469213
Marko Guduric,1,0.258338136,0.258338136,-1.499026351,-1.463898942,-0.035127409
Jorge Gutierrez,3,0.258052809,0.086017603,-1.499639355,-1.005722553,-0.493916802
CJ Elleby,1,0.108770227,0.108770227,-1.452325185,-0.681934459,-0.770390726
Reggie Bullock,8,4.517379159,0.564672395,-1.441460891,-0.951313942,-0.490146949
Kevin Huerter,3,4.47801198,1.49267066,-1.172844408,-0.479163612,-0.693680796
Wesley Johnson,9,8.252353276,0.916928142,-1.384564072,-1.644686217,0.260122145
Leandro Barbosa,8,3.951534256,0.493941782,-1.507053429,-0.10979347,-1.397259959
Max Strus,2,0.390959413,0.195479706,-1.157966889,0.237623046,-1.395589934
